900112.974075215;	cycle,it,executionDll, simulationDll, executionTrainLl, simulationTrainLl,realTrainLl, executionValidLl, realValidLl, executionTestLl, realTestLl
900112.9744098771;	0.0,0.0,0.0,0.0,-57261.34274827552,-57261.34274827552,-57261.34274827552,-11533.590986111825,-11533.590986111825,0.0,0.0
900118.9686491231;	0.0,1.0,561.8802667146997,561.8802667146997,-56699.462481560826,-56699.462481560826,-56699.462481560826,-11431.702016926141,-11431.702016926141,0.0,0.0
900119.5143975851;	0.0,2.0,200.39878453721417,200.39878453721417,-56499.06369702361,-56499.06369702361,-56499.06369702361,-11395.845711433676,-11395.845711433676,0.0,0.0
900120.179759297;	0.0,3.0,567.3990629579685,567.399062957968,-55931.66463406564,-55931.66463406564,-55931.66463406564,-11283.466151025128,-11283.466151025128,0.0,0.0
900121.603094995;	0.0,4.0,1787.5551785590897,1787.5551785590897,-54144.109455506565,-54144.109455506565,-54144.109455506565,-10946.603111959443,-10946.603111959443,0.0,0.0
900125.351992005;	0.0,5.0,232.6128750780356,232.6128750780356,-53911.49658042853,-53911.49658042853,-53911.49658042853,-10898.36036232921,-10898.36036232921,0.0,0.0
900126.1101945881;	0.0,6.0,108.69914632586381,108.69914632586381,-53802.79743410267,-53802.79743410267,-53802.79743410267,-10872.475667068446,-10872.475667068446,0.0,0.0
900129.748417277;	0.0,7.0,131.64106500811386,131.64106500811386,-53671.156369094555,-53671.156369094555,-53671.156369094555,-10851.4289409182,-10851.4289409182,0.0,0.0
900130.6824161371;	0.0,8.0,307.4178099203668,307.4178099203668,-53363.73855917419,-53363.73855917419,-53363.73855917419,-10798.119410429521,-10798.119410429521,0.0,0.0
900133.9757685671;	0.0,9.0,288.08093241992106,288.08093241992106,-53075.65762675427,-53075.65762675427,-53075.65762675427,-10745.21106307249,-10745.21106307249,0.0,0.0
900135.110442842;	0.0,10.0,303.3787478920617,303.3787478920617,-52772.278878862206,-52772.278878862206,-52772.278878862206,-10701.721943471273,-10701.721943471273,0.0,0.0
900135.809875661;	0.0,11.0,47.08305915019359,47.08305915019359,-52725.19581971201,-52725.19581971201,-52725.19581971201,-10692.788858161224,-10692.788858161224,0.0,0.0
900137.2119854521;	0.0,12.0,136.3131901408833,136.3131901408833,-52588.88262957112,-52588.88262957112,-52588.88262957112,-10670.782911779244,-10670.782911779244,0.0,0.0
900137.7125949811;	0.0,13.0,134.82204883948862,134.82204883948862,-52454.06058073164,-52454.06058073164,-52454.06058073164,-10642.813100735371,-10642.813100735371,0.0,0.0
900138.1410454541;	0.0,14.0,737.2017727138746,737.2017727138746,-51716.85880801776,-51716.85880801776,-51716.85880801776,-10484.396631983915,-10484.396631983915,0.0,0.0
900140.893594137;	0.0,15.0,66.83265707685086,66.83265707685086,-51650.02615094091,-51650.02615094091,-51650.02615094091,-10468.78808515905,-10468.78808515905,0.0,0.0
