Cycle;It;Time;TotalTime;Size;Operation;TrainLL;ValidLL;TestLL
0;0;0.015211377000000002;0.015211377000000002;215.0;null;-19.589922253943044;-19.749299633753125;NaN
0;1;6.163129301000001;6.1783406780000005;218.0;Split(255,5,218,[C(26),C(-26)],MaxDepth(3));-19.39769499882341;-19.57483222076394;NaN
0;2;0.545898972;6.72423965;221.0;Split(248,37,180,[C(56),C(-56)],MaxDepth(3));-19.32913571571112;-19.513434437386433;NaN
0;3;0.665261155;7.389500805000001;230.0;Split(270,21,252,[C(27),C(-27)],MaxDepth(3));-19.135020401664605;-19.321003683262205;NaN
0;4;1.4232233730000001;8.812724178000002;247.0;Split(284,17,280,[C(26),C(-26)],MaxDepth(3));-18.5234722735226;-18.744183410889455;NaN
0;5;3.748811549;12.561535727000003;249.0;Clone(190,26,[{311:190}],MaxDepth(3));-18.44389209046477;-18.66157596289248;NaN
0;6;0.7580626060000001;13.319598333000002;269.0;Split(284,17,338,[C(46),C(-46)],MaxDepth(3));-18.40670456178675;-18.617252854569255;NaN
0;7;3.63815194;16.957750273000002;271.0;Clone(209,10,[{358:212}],MaxDepth(3));-18.361668275434333;-18.581213939928425;NaN
0;8;0.933921702;17.891671975;276.0;Clone(181,33,[{344:184}],MaxDepth(3));-18.256496256987408;-18.489930497310823;NaN
0;9;3.293271131;21.184943106000002;281.0;Clone(203,15,[{356:206}],MaxDepth(3));-18.157939660196465;-18.399334012110426;NaN
0;10;1.134588677;22.319531783000002;294.0;Split(309,31,184,[C(33),C(-33)],MaxDepth(3));-18.054149462491345;-18.324866341560398;NaN
0;11;0.699334279;23.018866062;298.0;Split(362,1,224,[C(58),C(-58)],MaxDepth(3));-18.03804167626138;-18.309569962604836;NaN
0;12;1.4020373300000002;24.420903392;301.0;Split(243,59,152,[C(64),C(-64)],MaxDepth(3));-17.991406989247732;-18.2718885475672;NaN
0;13;0.500504127;24.921407519;304.0;Split(239,77,130,[C(42),C(-42)],MaxDepth(3));-17.945282442946166;-18.223995035505773;NaN
0;14;0.42834852300000004;25.349756042;324.0;Split(275,97,262,[C(21),C(-21)],MaxDepth(3));-17.693075199458693;-17.952733958876568;NaN
