458381.97355819604;	cycle,it,executionDll, simulationDll, executionTrainLl, simulationTrainLl,realTrainLl, executionValidLl, realValidLl, executionTestLl, realTestLl
458381.973733119;	0.0,0.0,0.0,0.0,-615193.9466018354,-615193.9466018354,-615193.9466018354,-154336.77332282878,-154336.77332282878,0.0,0.0
458517.589125587;	0.0,1.0,2475.062961337455,2475.062961337455,-612718.8836404979,-612718.8836404979,-612718.8836404979,-153688.76320940084,-153688.76320940084,0.0,0.0
458522.694095259;	0.0,2.0,3060.6176545064536,3060.6176545064545,-609658.2659859912,-609658.2659859912,-609658.2659859912,-152936.38250977077,-152936.38250977077,0.0,0.0
458543.670511837;	0.0,3.0,364.30008015756357,364.30008015756357,-609293.9659058336,-609293.9659058336,-609293.9659058336,-152866.53253790535,-152866.53253790535,0.0,0.0
458553.212186328;	0.0,4.0,1158.9295339175223,1158.9295339175223,-608135.0363719161,-608135.0363719161,-608135.0363719161,-152591.5800589626,-152591.5800589626,0.0,0.0
458563.73941446404;	0.0,5.0,1759.020429930366,1759.0204299303696,-606376.0159419859,-606376.0159419859,-606376.0159419859,-152168.73353984134,-152168.73353984134,0.0,0.0
458587.771002123;	0.0,6.0,814.2907866579044,814.2907866579026,-605561.7251553282,-605561.7251553282,-605561.7251553282,-151967.02387886168,-151967.02387886168,0.0,0.0
458599.272611744;	0.0,7.0,1245.180025056341,1245.180025056341,-604316.5451302717,-604316.5451302717,-604316.5451302717,-151653.57062151568,-151653.57062151568,0.0,0.0
458672.72776016704;	0.0,8.0,3116.687939602664,3116.687939602664,-601199.857190669,-601199.857190669,-601199.857190669,-150872.68228839774,-150872.68228839774,0.0,0.0
458699.51182949;	0.0,9.0,6544.886806961622,6544.886806961622,-594654.9703837074,-594654.9703837074,-594654.9703837074,-149261.10196887815,-149261.10196887815,0.0,0.0
458856.67971519905;	0.0,10.0,6545.554249511625,6545.554249511625,-588109.4161341959,-588109.4161341959,-588109.4161341959,-147701.92681316414,-147701.92681316414,0.0,0.0
458996.50866434205;	0.0,11.0,2351.4066812597985,2351.4066812597985,-585758.0094529362,-585758.0094529362,-585758.0094529362,-147110.3097057958,-147110.3097057958,0.0,0.0
459129.23066466505;	0.0,12.0,4171.453859430101,4171.453859430101,-581586.555593506,-581586.555593506,-581586.555593506,-146084.99861006773,-146084.99861006773,0.0,0.0
459153.77800314606;	0.0,13.0,12296.964246438512,12296.964246438512,-569289.5913470676,-569289.5913470676,-569289.5913470676,-143000.23432887168,-143000.23432887168,0.0,0.0
459311.84282408;	0.0,14.0,454.96917127386587,454.96917127386496,-568834.6221757937,-568834.6221757937,-568834.6221757937,-142892.9120667063,-142892.9120667063,0.0,0.0
459418.29024918104;	0.0,15.0,2576.5731654356096,2576.5731654356096,-566258.0490103582,-566258.0490103582,-566258.0490103582,-142213.75141228325,-142213.75141228325,0.0,0.0
459446.64859542705;	0.0,16.0,1401.0067699041583,1401.0067699041583,-564857.0422404541,-564857.0422404541,-564857.0422404541,-141870.66689709018,-141870.66689709018,0.0,0.0
459474.24766025704;	0.0,17.0,2423.958179150846,2423.958179150846,-562433.0840613034,-562433.0840613034,-562433.0840613034,-141273.99095937292,-141273.99095937292,0.0,0.0
459502.310966067;	0.0,18.0,479.70203981231407,479.70203981231316,-561953.3820214911,-561953.3820214911,-561953.3820214911,-141152.13238039767,-141152.13238039767,0.0,0.0
459621.893677923;	0.0,19.0,200.236201625381,200.236201625381,-561753.1458198656,-561753.1458198656,-561753.1458198656,-141107.54081295535,-141107.54081295535,0.0,0.0
