Cycle;It;Time;TotalTime;Size;Operation;TrainLL;ValidLL;TestLL
0;0;0.0048242020000000005;0.0048242020000000005;467.0;null;-25.49603989397967;-25.58209403660348;NaN
0;1;135.64971526600002;135.65453946800002;470.0;Split(536,117,372,[C(56),C(-56)],MaxDepth(3));-25.3934636180736;-25.474683111122303;NaN
0;2;5.105127973;140.75966744100003;482.0;Split(574,177,524,[C(124),C(-124)],MaxDepth(3));-25.266619668697054;-25.349972237654693;NaN
0;3;20.976329743;161.73599718400004;485.0;Split(540,97,392,[C(95),C(-95)],MaxDepth(3));-25.25152165053809;-25.338394254584014;NaN
0;4;9.541468479;171.27746566300004;497.0;Split(581,109,538,[C(100),C(-100)],MaxDepth(3));-25.203491084251983;-25.292819502563002;NaN
0;5;10.527067751;181.80453341400005;518.0;Split(606,47,588,[C(110),C(-110)],MaxDepth(3));-25.130590407475896;-25.2227305718285;NaN
0;6;24.031483932;205.83601734600006;530.0;Split(571,207,518,[C(46),C(-46)],MaxDepth(3));-25.096843016922715;-25.189296184130892;NaN
0;7;11.50151986;217.33753720600006;548.0;Split(618,193,612,[C(28),C(-28)],MaxDepth(3));-25.045237893417536;-25.13733973504321;NaN
0;8;73.45502643100001;290.79256363700006;553.0;Clone(520,195,[{721:520}],MaxDepth(3));-24.916070172434374;-25.00790357838517;NaN
0;9;26.783956108;317.57651974500004;575.0;Split(623,155,622,[C(26),C(-26)],MaxDepth(3));-24.644824500961807;-24.740776059817364;NaN
0;10;157.16779783200002;474.74431757700006;625.0;Split(783,233,777,[C(49),C(-49)],MaxDepth(3));-24.373551168063155;-24.482334959914493;NaN
0;11;139.828862398;614.5731799750001;655.0;Split(783,233,838,[C(24),C(-24)],MaxDepth(3));-24.276099691364593;-24.384271457947257;NaN
0;12;132.721887318;747.2950672930001;663.0;Clone(515,219,[{716:516}],MaxDepth(3));-24.103218351092295;-24.214321002829063;NaN
0;13;24.547247438000003;771.8423147310001;697.0;Split(623,155,786,[C(45),C(-45)],MaxDepth(3));-23.593584124790404;-23.703005855937622;NaN
0;14;158.06473643500001;929.9070511660001;732.0;Split(929,193,917,[C(50),C(-50)],MaxDepth(3));-23.5747284253717;-23.68521665286032;NaN
0;15;106.44727474300001;1036.3543259090002;746.0;Clone(564,275,[{850:564}],MaxDepth(3));-23.467945170142077;-23.57264236901761;NaN
0;16;28.358233592;1064.7125595010002;754.0;Clone(707,209,[{947:709}],MaxDepth(3));-23.409881977721998;-23.515774390368005;NaN
0;17;27.598969058;1092.3115285590002;768.0;Clone(561,305,[{848:562}],MaxDepth(3));-23.309423683588356;-23.41687236190501;NaN
0;18;28.063176784000003;1120.3747053430002;814.0;Split(623,155,785,[C(29),C(-29)],MaxDepth(3));-23.289542957498906;-23.39667369143008;NaN
0;19;119.582626664;1239.957332007;816.0;Clone(105,124,[{996:994}],MaxDepth(3));-23.281244387246286;-23.38928241554042;NaN
0;20;4.165179972000001;1244.1225119790001;864.0;Split(623,155,1066,[C(30),C(-30)],MaxDepth(3));-23.26364229813635;-23.37212354361303;NaN
0;21;160.39454565300002;1404.5170576320002;869.0;Clone(514,225,[{943:514}],MaxDepth(3));-23.246238672231982;-23.357232739943232;NaN
0;22;21.061594884;1425.5786525160001;883.0;Clone(727,167,[{861:729,737:729}],MaxDepth(3));-23.210873961759575;-23.319042444749297;NaN
0;23;43.024157751000004;1468.6028102670002;889.0;Split(533,131,356,[C(20),C(-20)],MaxDepth(3));-23.19920814810459;-23.30803844005534;NaN
0;24;10.475888527;1479.0786987940003;895.0;Split(513,229,254,[C(123),C(-123)],MaxDepth(3));-23.18834870712426;-23.297245635639484;NaN
0;25;15.708766884000001;1494.7874656780002;901.0;Split(497,307,172,[C(48),C(-48)],MaxDepth(3));-23.17771270062948;-23.284592977531;NaN
0;26;6.931417232;1501.7188829100003;932.0;Split(623,155,937,[C(29),C(-29)],MaxDepth(3));-23.147410573442112;-23.254408025730473;NaN
0;27;300.60319854600004;1802.3220814560004;991.0;Split(1220,233,1214,[C(24),C(-24)],MaxDepth(3));-23.108021241474177;-23.215404123689925;NaN
0;28;324.743350981;2127.0654324370003;1022.0;Split(623,155,1223,[C(30),C(-30)],MaxDepth(3));-23.076545605450857;-23.185328232363133;NaN
0;29;365.529112408;2492.594544845;1081.0;Split(1332,233,1326,[C(24),C(-24)],MaxDepth(3));-23.02430974035352;-23.13712492237074;NaN
0;30;518.100994835;3010.6955396800004;1095.0;Clone(585,71,[{1299:1297,605:586,1298:1296}],MaxDepth(3));-23.008669645948213;-23.11966610439207;NaN
0;31;210.48356029700003;3221.1790999770005;1115.0;Split(1074,61,548,[C(22),C(-22)],MaxDepth(3));-22.99192029820612;-23.09733517741048;NaN
0;32;16.469571252;3237.6486712290007;1154.0;Split(623,155,1335,[C(101),C(-101)],MaxDepth(3));-22.964833488732076;-23.068919170907115;NaN
0;33;423.195409502;3660.8440807310008;1183.0;Split(623,155,1477,[C(99),C(-99)],MaxDepth(3));-22.949501184696107;-23.053443312235796;NaN
0;34;421.666093181;4082.510173912001;1220.0;Split(623,155,1522,[C(102),C(-102)],MaxDepth(3));-22.93840759575791;-23.04155093676503;NaN
0;35;452.77237498100004;4535.282548893001;1279.0;Split(1570,233,1564,[C(98),C(-98)],MaxDepth(3));-22.920519869114774;-23.02514156786276;NaN
0;36;689.864181612;5225.146730505001;1322.0;Split(1570,233,1638,[C(103),C(-103)],MaxDepth(3));-22.914503734150255;-23.019445326959342;NaN
