900402.919314563;	cycle,it,executionDll, simulationDll, executionTrainLl, simulationTrainLl,realTrainLl, executionValidLl, realValidLl, executionTestLl, realTestLl
900402.93366748;	0.0,0.0,0.0,0.0,-1042588.1836239663,-1042588.1836239663,-1042588.1836239663,-208797.4926159199,-208797.4926159199,0.0,0.0
901173.3439652021;	0.0,1.0,3495.3000840908117,3495.3000840908117,-1039092.8835398757,-1039092.8835398757,-1039092.8835398757,-208111.7104471921,-208111.7104471921,0.0,0.0
901236.5975134971;	0.0,2.0,412.07461502083424,412.07461502083424,-1038680.8089248548,-1038680.8089248548,-1038680.8089248548,-208018.31768291962,-208018.31768291962,0.0,0.0
901288.9919189231;	0.0,3.0,1570.4122538202519,1570.41225382025,-1037110.3966710344,-1037110.3966710344,-1037110.3966710344,-207685.8500631196,-207685.8500631196,0.0,0.0
901321.2965202951;	0.0,4.0,2840.423272562879,2840.423272562879,-1034269.9733984716,-1034269.9733984716,-1034269.9733984716,-207104.98890927507,-207104.98890927507,0.0,0.0
901444.82835391;	0.0,5.0,1442.590582223163,1442.590582223163,-1032827.3828162485,-1032827.3828162485,-1032827.3828162485,-206810.71688666224,-206810.71688666224,0.0,0.0
901499.275762908;	0.0,6.0,381.58893097678265,381.58893097678265,-1032445.7938852715,-1032445.7938852715,-1032445.7938852715,-206725.4140869991,-206725.4140869991,0.0,0.0
901509.5252135841;	0.0,7.0,329.4644559977096,329.4644559977096,-1032116.3294292737,-1032116.3294292737,-1032116.3294292737,-206657.6755438468,-206657.6755438468,0.0,0.0
901523.8550543771;	0.0,8.0,324.4521689666308,324.4521689666308,-1031791.8772603072,-1031791.8772603072,-1031791.8772603072,-206597.64866020042,-206597.64866020042,0.0,0.0
901533.080044789;	0.0,9.0,301.0298579675555,301.0298579675555,-1031490.8474023396,-1031490.8474023396,-1031490.8474023396,-206543.8213641292,-206543.8213641292,0.0,0.0
901544.739937796;	0.0,10.0,3090.7812354926464,3090.7812354926464,-1028400.0661668468,-1028400.0661668468,-1028400.0661668468,-205894.2699526629,-205894.2699526629,0.0,0.0
901603.712616598;	0.0,11.0,177.93310547970168,177.93310547970168,-1028222.1330613672,-1028222.1330613672,-1028222.1330613672,-205860.0931201537,-205860.0931201537,0.0,0.0
901611.626193562;	0.0,12.0,176.6477233746773,176.6477233746773,-1028045.4853379925,-1028045.4853379925,-1028045.4853379925,-205819.87612082568,-205819.87612082568,0.0,0.0
901619.0764540051;	0.0,13.0,170.77501516797292,170.77501516797292,-1027874.7103228245,-1027874.7103228245,-1027874.7103228245,-205779.90031598727,-205779.90031598727,0.0,0.0
