Cycle;It;Time;TotalTime;Size;Operation;TrainLL;ValidLL;TestLL
0;0;0.05391121;0.05391121;878.0;null;-75.47330126132664;-75.59648537868208;NaN
0;1;770.641021728;770.6949329380001;898.0;Split(1128,225,1084,[C(120),C(-120)],MaxDepth(3));-75.22027533950164;-75.34819350006956;NaN
0;2;63.25371324700001;833.9486461850001;901.0;Split(1039,23,888,[C(186),C(-186)],MaxDepth(3));-75.1904451226911;-75.31438004450385;NaN
0;3;52.39401241;886.3426585950001;913.0;Split(1057,467,942,[C(109),C(-109)],MaxDepth(3));-75.07676246351777;-75.19400798809544;NaN
0;4;32.304123379;918.6467819740001;932.0;Split(1144,455,1116,[C(110),C(-110)],MaxDepth(3));-74.87114328930589;-74.98370344289467;NaN
0;5;123.53131347300001;1042.178095447;937.0;Clone(1209,471,[{1225:1211}],MaxDepth(3));-74.76671368294835;-74.87716034998633;NaN
0;6;54.447064613;1096.62516006;940.0;Split(939,479,344,[C(177),C(-177)],MaxDepth(3));-74.73909033482492;-74.84627591853697;NaN
0;7;10.249078030000002;1106.87423809;943.0;Split(589,269,132,[C(70),C(-70)],MaxDepth(3));-74.71524029457606;-74.82175073998798;NaN
0;8;14.329593473000001;1121.203831563;946.0;Split(579,279,126,[C(87),C(-87)],MaxDepth(3));-74.69175309543269;-74.80001761774092;NaN
0;9;9.224550046000001;1130.428381609;949.0;Split(611,251,138,[C(122),C(-122)],MaxDepth(3));-74.66996144508032;-74.7805290963538;NaN
0;10;11.659460156000002;1142.0878417650001;970.0;Split(1127,243,1082,[C(210),C(-210)],MaxDepth(3));-74.44621877565127;-74.54535479821249;NaN
0;11;58.972368097;1201.0602098620002;972.0;Clone(141,234,[{1173:144}],MaxDepth(3));-74.43333813966753;-74.53298085450895;NaN
0;12;7.913150305;1208.9733601670002;974.0;Clone(1272,252,[{1276:1274}],MaxDepth(3));-74.4205505529168;-74.51842002926347;NaN
0;13;7.449850653;1216.4232108200003;976.0;Clone(369,458,[{1235:372}],MaxDepth(3));-74.40818809344321;-74.50394653004608;NaN
0;14;26.366718296000002;1242.7899291160004;979.0;Split(405,425,72,[C(209),C(-209)],MaxDepth(3));-74.39027672088966;-74.4861215224521;NaN
