900111.800886149;	cycle,it,executionDll, simulationDll, executionTrainLl, simulationTrainLl,realTrainLl, executionValidLl, realValidLl, executionTestLl, realTestLl
900111.801218652;	0.0,0.0,0.0,0.0,-11054.885764952583,-11054.885764952583,-11054.885764952583,-2729.7009878152594,-2729.7009878152594,0.0,0.0
900131.6626453811;	0.0,1.0,20.922206684949828,20.922206684949828,-11033.963558267633,-11033.963558267633,-11033.963558267633,-2720.6744002476985,-2720.6744002476985,0.0,0.0
900132.102192388;	0.0,2.0,19.10307113056672,19.10307113056672,-11014.860487137064,-11014.860487137064,-11014.860487137064,-2716.6045262034336,-2716.6045262034336,0.0,0.0
900132.5318966331;	0.0,3.0,58.593406817547304,58.593406817547304,-10956.267080319514,-10956.267080319514,-10956.267080319514,-2699.8892893599013,-2699.8892893599013,0.0,0.0
900133.8878162471;	0.0,4.0,52.96385716933048,52.963857169330424,-10903.303223150182,-10903.303223150182,-10903.303223150182,-2691.246837873565,-2691.246837873565,0.0,0.0
900135.01852853;	0.0,5.0,49.40148524324792,49.40148524324792,-10853.901737906941,-10853.901737906941,-10853.901737906941,-2676.2950436299716,-2676.2950436299716,0.0,0.0
900143.1366068091;	0.0,6.0,123.44140137111604,123.44140137111603,-10730.460336535825,-10730.460336535825,-10730.460336535825,-2645.493687568008,-2645.493687568008,0.0,0.0
900149.688549024;	0.0,7.0,14.997961257938478,14.997961257938478,-10715.462375277884,-10715.462375277884,-10715.462375277884,-2641.58161244933,-2641.58161244933,0.0,0.0
900157.174470916;	0.0,8.0,8.011459245488721,8.011459245488735,-10707.450916032396,-10707.450916032396,-10707.450916032396,-2642.0561977945376,-2642.0561977945376,0.0,0.0
900166.472910981;	0.0,9.0,121.76710584943737,121.76710584943737,-10585.683810182962,-10585.683810182962,-10585.683810182962,-2615.2920761011187,-2615.2920761011187,0.0,0.0
900179.726568683;	0.0,10.0,59.47113695293618,59.47113695293618,-10526.212673230024,-10526.212673230024,-10526.212673230024,-2599.6590969573977,-2599.6590969573977,0.0,0.0
900191.8646245601;	0.0,11.0,181.12228219067384,181.12228219067384,-10345.090391039343,-10345.090391039343,-10345.090391039343,-2554.0453888884513,-2554.0453888884513,0.0,0.0
900207.8530721171;	0.0,12.0,116.35370967934008,116.35370967934008,-10228.736681360004,-10228.736681360004,-10228.736681360004,-2527.5761977624024,-2527.5761977624024,0.0,0.0
900224.377810118;	0.0,13.0,28.3173547440108,28.317354744010785,-10200.419326615995,-10200.419326615995,-10200.419326615995,-2520.317317236457,-2520.317317236457,0.0,0.0
900237.4671235081;	0.0,14.0,5.936013742019219,5.936013742019219,-10194.483312873974,-10194.483312873974,-10194.483312873974,-2516.404405444015,-2516.404405444015,0.0,0.0
900250.4434164381;	0.0,15.0,22.58483437149505,22.584834371495063,-10171.898478502479,-10171.898478502479,-10171.898478502479,-2512.3718383416863,-2512.3718383416863,0.0,0.0
900259.29204322;	0.0,16.0,16.857917390154057,16.85791739015407,-10155.040561112324,-10155.040561112324,-10155.040561112324,-2508.2954258949826,-2508.2954258949826,0.0,0.0
900280.276101237;	0.0,17.0,21.803294752303003,21.803294752303017,-10133.237266360022,-10133.237266360022,-10133.237266360022,-2501.90912689069,-2501.90912689069,0.0,0.0
900300.5097755721;	0.0,18.0,15.344446399064125,15.344446399064125,-10117.892819960958,-10117.892819960958,-10117.892819960958,-2498.50141118264,-2498.50141118264,0.0,0.0
900322.694019343;	0.0,19.0,14.338724347128071,14.338724347128071,-10103.55409561383,-10103.55409561383,-10103.55409561383,-2494.0783098513934,-2494.0783098513934,0.0,0.0
900349.368381937;	0.0,20.0,7.337980677743902,7.337980677743902,-10096.216114936087,-10096.216114936087,-10096.216114936087,-2494.3678706736564,-2494.3678706736564,0.0,0.0
900350.277511965;	0.0,21.0,18.356077891654337,18.356077891654323,-10077.860037044433,-10077.860037044433,-10077.860037044433,-2491.0385586765315,-2491.0385586765315,0.0,0.0
