Cycle;It;Time;TotalTime;Size;Operation;TrainLL;ValidLL;TestLL
0;0;0.031607555;0.031607555;575.0;null;-34.225652523073016;-33.70001219525012;NaN
0;1;20.007233981000002;20.038841536000003;578.0;Split(425,321,66,[C(48),C(-48)],MaxDepth(3));-34.160877889373474;-33.588572842564176;NaN
0;2;0.439829222;20.478670758000003;581.0;Split(585,81,306,[C(118),C(-118)],MaxDepth(3));-34.10173525429432;-33.53832748399301;NaN
0;3;0.429602427;20.908273185000002;599.0;Split(710,317,652,[C(103),C(-103)],MaxDepth(3));-33.92033151801707;-33.33196653530742;NaN
0;4;1.347068122;22.255341307000002;614.0;Split(722,173,676,[C(134),C(-134)],MaxDepth(3));-33.75635672801914;-33.22526960337734;NaN
0;5;1.130586158;23.385927465;632.0;Split(761,335,754,[C(1),C(-1)],MaxDepth(3));-33.60341095327226;-33.040679550987306;NaN
0;6;8.117983413000001;31.503910878000003;668.0;Split(761,335,852,[C(52),C(-52)],MaxDepth(3));-33.22123943199946;-32.66041589590134;NaN
0;7;6.551855158;38.055766036;688.0;Split(761,335,897,[C(65),C(-65)],MaxDepth(3));-33.17480611541141;-32.61211867221395;NaN
0;8;7.485830624;45.54159666;712.0;Split(761,335,929,[C(9),C(-9)],MaxDepth(3));-33.15000283601361;-32.61797775054985;NaN
0;9;9.298332322;54.839928982;758.0;Split(765,287,762,[C(124),C(-124)],MaxDepth(3));-32.773014892207314;-32.28755649507554;NaN
0;10;13.253498664;68.09342764600001;809.0;Split(765,287,1048,[C(115),C(-115)],MaxDepth(3));-32.58889372517035;-32.094556752560464;NaN
0;11;12.137965633;80.231393279;877.0;Split(767,191,766,[C(118),C(-118)],MaxDepth(3));-32.028143625508804;-31.53142455417841;NaN
0;12;15.988329708;96.219722987;946.0;Split(767,191,1240,[C(134),C(-134)],MaxDepth(3));-31.667915422167194;-31.204644416819782;NaN
