Cycle;It;Time;TotalTime;Size;Operation;TrainLL;ValidLL;TestLL
0;0;0.020250324;0.020250324;164.0;null;-12.420797173424317;-12.369321295148714;NaN
0;1;9.168866374;9.189116698;167.0;Split(176,19,120,[C(8),C(-8)],MaxDepth(3));-12.37805021785697;-12.326540111086087;NaN
0;2;5.314927648;14.504044346;185.0;Split(210,31,200,[C(16),C(-16)],MaxDepth(3));-12.197633105398008;-12.126820976037148;NaN
0;3;4.466150482000001;18.970194828;191.0;Split(203,7,184,[C(38),C(-38)],MaxDepth(3));-12.138479337405489;-12.077568785886394;NaN
0;4;1.28815856;20.258353388;194.0;Split(147,85,36,[C(18),C(-18)],MaxDepth(3));-12.121577181613004;-12.061513019020982;NaN
0;5;0.515050705;20.773404093;203.0;Split(191,91,146,[C(28),C(-28)],MaxDepth(3));-12.092333721736004;-12.03184409395722;NaN
0;6;1.189580498;21.962984591;222.0;Split(216,11,212,[C(4),C(-4)],MaxDepth(3));-12.042976068461826;-11.988036717234248;NaN
0;7;4.9562618160000005;26.919246407000003;224.0;Clone(221,20,[{275:223}],MaxDepth(3));-11.985360956862573;-11.931032454060137;NaN
0;8;4.021489145;30.940735552000003;248.0;Split(216,11,302,[C(6),C(-6)],MaxDepth(3));-11.97106655870744;-11.9122114563565;NaN
0;9;2.3705414080000002;33.31127696;252.0;Split(318,9,251,[C(39),C(-39)],MaxDepth(3));-11.955031424719479;-11.896820013032423;NaN
0;10;0.48646576500000005;33.797742725;255.0;Split(140,103,12,[C(50),C(-50)],MaxDepth(3));-11.947183706837217;-11.886532193985794;NaN
0;11;1.100060034;34.897802759;261.0;Split(194,69,156,[C(52),C(-52)],MaxDepth(3));-11.935600476753342;-11.872530331480574;NaN
0;12;1.633847891;36.53165065;263.0;Clone(123,16,[{314:126}],MaxDepth(3));-11.932284817855539;-11.870954764048214;NaN
0;13;2.0459076730000003;38.577558323000005;272.0;Split(215,39,210,[C(16),C(-16)],MaxDepth(3));-11.917530476611367;-11.859750546828245;NaN
0;14;4.47349645;43.051054773000004;284.0;Split(207,73,194,[C(52),C(-52)],MaxDepth(3));-11.899620050613473;-11.839560268244261;NaN
0;15;5.3016972;48.352751973000004;313.0;Split(219,53,218,[C(51),C(-51)],MaxDepth(3));-11.757952121973227;-11.686294390232765;NaN
0;16;16.387033429000002;64.73978540200001;327.0;Clone(189,105,[{423:190}],MaxDepth(3));-11.566909309654513;-11.506700404661993;NaN
0;17;6.038468065;70.77825346700001;362.0;Split(219,53,460,[C(53),C(-53)],MaxDepth(3));-11.545320689074869;-11.489370909216195;NaN
