900146.5716221001;	cycle,it,executionDll, simulationDll, executionTrainLl, simulationTrainLl,realTrainLl, executionValidLl, realValidLl, executionTestLl, realTestLl
900146.5719324381;	0.0,0.0,0.0,0.0,-420816.6905661064,-420816.6905661064,-420816.6905661064,-83933.88761088083,-83933.88761088083,0.0,0.0
900475.3258930631;	0.0,1.0,667.4679012356337,667.4679012356337,-420149.2226648707,-420149.2226648707,-420149.2226648707,-83791.29258951635,-83791.29258951635,0.0,0.0
900480.3815327421;	0.0,2.0,626.2533563501747,626.2533563501747,-419522.9693085206,-419522.9693085206,-419522.9693085206,-83671.3621633294,-83671.3621633294,0.0,0.0
900489.310787808;	0.0,3.0,3764.4981414486256,3764.4981414486256,-415758.47116707196,-415758.47116707196,-415758.47116707196,-82979.07759552416,-82979.07759552416,0.0,0.0
900547.872874786;	0.0,4.0,455.13752571205987,455.13752571205964,-415303.33364135993,-415303.33364135993,-415303.33364135993,-82901.03289264305,-82901.03289264305,0.0,0.0
900604.48682956;	0.0,5.0,2830.512028479198,2830.512028479198,-412472.82161288074,-412472.82161288074,-412472.82161288074,-82371.42372753473,-82371.42372753473,0.0,0.0
900839.538082516;	0.0,6.0,420.66274977886223,420.66274977886223,-412052.15886310185,-412052.15886310185,-412052.15886310185,-82299.95216743874,-82299.95216743874,0.0,0.0
901036.900194886;	0.0,7.0,420.66283580036134,420.6628358003611,-411631.49602730153,-411631.49602730153,-411631.49602730153,-82228.48059014438,-82228.48059014438,0.0,0.0
901296.517804389;	0.0,8.0,414.97613685211763,414.97613685211775,-411216.5198904493,-411216.5198904493,-411216.5198904493,-82158.12553290994,-82158.12553290994,0.0,0.0
901587.2679680231;	0.0,9.0,1738.2075969083571,1738.2075969083571,-409478.3122935409,-409478.3122935409,-409478.3122935409,-81811.09024517164,-81811.09024517164,0.0,0.0
901646.139596465;	0.0,10.0,421.42169420763275,421.42169420763184,-409056.89059933345,-409056.89059933345,-409056.89059933345,-81727.22594403665,-81727.22594403665,0.0,0.0
901652.9086745951;	0.0,11.0,195.26762820521435,195.26762820521435,-408861.62297112826,-408861.62297112826,-408861.62297112826,-81691.73865320621,-81691.73865320621,0.0,0.0
901663.7653571251;	0.0,12.0,1029.278513469846,1029.278513469847,-407832.34445765824,-407832.34445765824,-407832.34445765824,-81482.46715813852,-81482.46715813852,0.0,0.0
901684.7801227791;	0.0,13.0,124.17773392387016,124.17773392387005,-407708.16672373435,-407708.16672373435,-407708.16672373435,-81460.09691033109,-81460.09691033109,0.0,0.0
902020.8728285411;	0.0,14.0,121.48724311977139,121.48724311977116,-407586.67948061455,-407586.67948061455,-407586.67948061455,-81438.51688368569,-81438.51688368569,0.0,0.0
902475.798253403;	0.0,15.0,333.11866468988046,333.11866468988046,-407253.56081592484,-407253.56081592484,-407253.56081592484,-81372.54874136497,-81372.54874136497,0.0,0.0
902489.5157082321;	0.0,16.0,45.65975122031182,45.65975122031182,-407207.9010647045,-407207.9010647045,-407207.9010647045,-81358.23945443935,-81358.23945443935,0.0,0.0
902500.745448412;	0.0,17.0,580.5440639271163,580.5440639271163,-406627.35700077744,-406627.35700077744,-406627.35700077744,-81254.43786119677,-81254.43786119677,0.0,0.0
902829.496656175;	0.0,18.0,428.965337355717,428.965337355717,-406198.3916634217,-406198.3916634217,-406198.3916634217,-81180.45472092868,-81180.45472092868,0.0,0.0
903029.435371472;	0.0,19.0,328.16100363837813,328.16100363837813,-405870.23065978324,-405870.23065978324,-405870.23065978324,-81116.66061576219,-81116.66061576219,0.0,0.0
903049.512606711;	0.0,20.0,6794.366049994844,6794.366049994844,-399075.8646097884,-399075.8646097884,-399075.8646097884,-79752.2013715286,-79752.2013715286,0.0,0.0
903235.7842822891;	0.0,21.0,5530.325835867371,5530.325835867371,-393545.538773921,-393545.538773921,-393545.538773921,-78632.46169456917,-78632.46169456917,0.0,0.0
903752.708922466;	0.0,22.0,6729.064311314754,6729.064311314754,-386816.47446260625,-386816.47446260625,-386816.47446260625,-77281.68126440475,-77281.68126440475,0.0,0.0
904163.0636693081;	0.0,23.0,4023.696646697008,4023.696646697008,-382792.77781590924,-382792.77781590924,-382792.77781590924,-76482.50663877188,-76482.50663877188,0.0,0.0
904253.9305603551;	0.0,24.0,1891.4139737867768,1891.4139737867768,-380901.3638421225,-380901.3638421225,-380901.3638421225,-76112.6674573854,-76112.6674573854,0.0,0.0
904364.0425862471;	0.0,25.0,671.8718904801003,671.8718904801003,-380229.4919516424,-380229.4919516424,-380229.4919516424,-75983.14719037784,-75983.14719037784,0.0,0.0
904455.720901672;	0.0,26.0,263.115128678498,263.115128678498,-379966.37682296394,-379966.37682296394,-379966.37682296394,-75930.00516754405,-75930.00516754405,0.0,0.0
904727.5351308901;	0.0,27.0,263.1151643963226,263.1151643963235,-379703.2616585676,-379703.2616585676,-379703.2616585676,-75876.86573876848,-75876.86573876848,0.0,0.0
904988.662388868;	0.0,28.0,394.6419707601291,394.6419707601291,-379308.6196878075,-379308.6196878075,-379308.6196878075,-75791.55106315891,-75791.55106315891,0.0,0.0
