Cycle;It;Time;TotalTime;Size;Operation;TrainLL;ValidLL;TestLL
0;0;0.017163452000000003;0.017163452000000003;545.0;null;-36.217978360108994;-36.13167783507569;NaN
0;1;329.03061714800003;329.0477806;548.0;Split(431,217,138,[C(178),C(-178)],MaxDepth(3));-36.16053211678033;-36.07029383965405;NaN
0;2;5.0559725570000005;334.103753157;551.0;Split(325,361,6,[C(141),C(-141)],MaxDepth(3));-36.106633041442514;-36.01866644999113;NaN
0;3;8.928952151;343.032705308;570.0;Split(707,123,686,[C(120),C(-120)],MaxDepth(3));-35.782638021092346;-35.72065329122865;NaN
0;4;58.561917254;401.594622562;591.0;Split(707,123,764,[C(179),C(-179)],MaxDepth(3));-35.74346618825716;-35.687056776858824;NaN
0;5;56.613780536;458.20840309799996;610.0;Split(726,89,724,[C(109),C(-109)],MaxDepth(3));-35.49985554805755;-35.459071772507414;NaN
0;6;235.051090288;693.259493386;633.0;Split(726,89,828,[C(118),C(-118)],MaxDepth(3));-35.463650818753926;-35.42830485038258;NaN
0;7;197.36196940500002;890.6214627910001;658.0;Split(726,89,863,[C(129),C(-129)],MaxDepth(3));-35.42744608204678;-35.39753792085423;NaN
0;8;259.617486981;1150.238949772;683.0;Split(726,89,899,[C(140),C(-140)],MaxDepth(3));-35.39173077635333;-35.36725162845886;NaN
0;9;290.750009921;1440.9889596930002;703.0;Split(702,235,676,[C(149),C(-149)],MaxDepth(3));-35.242130329076595;-35.217860630723905;NaN
0;10;58.871516427;1499.8604761200002;709.0;Split(605,335,344,[C(93),C(-93)],MaxDepth(3));-35.205860280517555;-35.181758908324;NaN
0;11;6.768977948000001;1506.629454068;712.0;Split(467,173,174,[C(63),C(-63)],MaxDepth(3));-35.189054391180676;-35.16648241636083;NaN
0;12;10.856556663000001;1517.486010731;730.0;Split(665,357,602,[C(106),C(-106)],MaxDepth(3));-35.10046858229264;-35.076395677201255;NaN
0;13;21.014672471;1538.5006832020001;755.0;Split(726,89,935,[C(139),C(-139)],MaxDepth(3));-35.08978111057185;-35.06676578145979;NaN
0;14;336.092573505;1874.5932567070001;780.0;Split(726,89,1037,[C(117),C(-117)],MaxDepth(3));-35.07932519843485;-35.057476058409684;NaN
0;15;454.92529675300005;2329.51855346;789.0;Split(999,359,993,[C(84),C(-84)],MaxDepth(3));-35.05065503192399;-35.02907823562848;NaN
0;16;13.715069896000001;2343.233623356;793.0;Split(866,57,282,[C(40),C(-40)],MaxDepth(3));-35.046725283131465;-35.022918404838286;NaN
0;17;11.229618902;2354.463242258;832.0;Split(1071,135,1065,[C(108),C(-108)],MaxDepth(3));-34.996760220395686;-34.97823412018802;NaN
0;18;328.751108364;2683.214350622;859.0;Split(1071,135,1131,[C(107),C(-107)],MaxDepth(3));-34.959840921199905;-34.94638601847985;NaN
0;19;199.938571053;2883.152921675;870.0;Split(649,85,534,[C(118),C(-118)],MaxDepth(3));-34.93159744038069;-34.91892407049599;NaN
0;20;20.077123200000003;2903.230044875;900.0;Split(823,65,813,[C(129),C(-129)],MaxDepth(3));-34.34683403130978;-34.33155461538037;NaN
0;21;186.27155068800002;3089.501595563;928.0;Split(726,89,829,[C(140),C(-140)],MaxDepth(3));-33.870861414400636;-33.84953150863933;NaN
0;22;516.924502126;3606.426097689;961.0;Split(1250,135,1244,[C(179),C(-179)],MaxDepth(3));-33.291718259971276;-33.26805047972654;NaN
0;23;410.354641757;4016.780739446;969.0;Clone(647,95,[{688:648,1279:648}],MaxDepth(3));-32.94541508011957;-32.924023520779976;NaN
0;24;90.86677112400001;4107.64751057;977.0;Clone(646,101,[{687:646,1277:646}],MaxDepth(3));-32.782628784071136;-32.76481595238287;NaN
0;25;110.11187821300001;4217.759388783;982.0;Clone(539,75,[{651:542,1190:542}],MaxDepth(3));-32.724803507327856;-32.7090603488497;NaN
0;26;91.678205448;4309.437594231;1004.0;Split(1250,135,1290,[C(127),C(-127)],MaxDepth(3));-32.70215826000206;-32.68618388615758;NaN
0;27;271.814107657;4581.251701888;1045.0;Split(726,89,1252,[C(116),C(-116)],MaxDepth(3));-32.67951300960217;-32.66330854015001;NaN
0;28;261.127133146;4842.378835034;1052.0;Clone(798,5,[{800:664,1346:1344}],MaxDepth(3));-32.645547782753034;-32.62658246369303;NaN
0;29;58.460753494;4900.839588528;1077.0;Split(1071,135,1173,[C(127),C(-127)],MaxDepth(3));-32.63682561370283;-32.618891592450346;NaN
0;30;374.06417444000004;5274.903762968;1126.0;Split(726,89,1073,[C(116),C(-116)],MaxDepth(3));-32.62810365731273;-32.61121190385389;NaN
0;31;307.560941125;5582.464704092999;1128.0;Clone(597,2,[{664:600,1451:1449,1343:1341}],MaxDepth(3));-32.61722350133815;-32.59835084763011;NaN
0;32;11.038569553;5593.503273646;1148.0;Split(713,339,698,[C(85),C(-85)],MaxDepth(3));-32.547077185382875;-32.53095411445086;NaN
0;33;150.529281553;5744.032555199;1150.0;Clone(340,340,[{1532:340}],MaxDepth(3));-32.53139885262049;-32.51159974137407;NaN
0;34;14.075513393000001;5758.108068592;1158.0;Clone(1083,361,[{1522:1085}],MaxDepth(3));-32.49667164498897;-32.47496602574611;NaN
0;35;14.899547810000001;5773.007616401999;1182.0;Split(713,339,1551,[C(82),C(-82)],MaxDepth(3));-32.48592050327446;-32.46321239196048;NaN
0;36;137.41387203300002;5910.421488434999;1206.0;Split(713,339,1594,[C(65),C(-65)],MaxDepth(3));-32.477411168987835;-32.45493904692648;NaN
0;37;121.172528458;6031.594016892999;1209.0;Split(569,35,300,[C(69),C(-69)],MaxDepth(3));-32.4671936282293;-32.44123159058643;NaN
0;38;88.821849291;6120.415866183999;1215.0;Split(637,153,482,[C(14),C(-14)],MaxDepth(3));-32.44771022852787;-32.42488939806362;NaN
0;39;66.286947587;6186.7028137709995;1242.0;Split(725,271,722,[C(83),C(-83)],MaxDepth(3));-32.384319230444966;-32.36314964630903;NaN
0;40;220.230688479;6406.933502249999;1283.0;Split(1677,339,1663,[C(82),C(-82)],MaxDepth(3));-32.0214611254327;-32.006359978764166;NaN
0;41;149.442325291;6556.375827540999;1285.0;Clone(992,358,[{1698:992,1604:992}],MaxDepth(3));-32.00188677927197;-31.9892675107624;NaN
0;42;24.70044;6581.076267540999;1306.0;Split(1678,339,1664,[C(82),C(-82)],MaxDepth(3));-31.874262407449148;-31.851960314508847;NaN
