517829.364719427;	cycle,it,executionDll, simulationDll, executionTrainLl, simulationTrainLl,realTrainLl, executionValidLl, realValidLl, executionTestLl, realTestLl
517829.364885793;	0.0,0.0,0.0,0.0,-2.0901738128733665E7,-2.0901738128733665E7,-2.0901738128733665E7,-5215412.603861527,-5215412.603861527,0.0,0.0
524605.493684505;	0.0,1.0,23563.237825871103,23563.237825871103,-2.0878174890907794E7,-2.0878174890907794E7,-2.0878174890907794E7,-5209431.494241083,-5209431.494241083,0.0,0.0
524630.548720948;	0.0,2.0,23032.519800125287,23032.519800125287,-2.0855142371107675E7,-2.0855142371107675E7,-2.0855142371107675E7,-5203609.88623702,-5203609.88623702,0.0,0.0
524655.8792778461;	0.0,3.0,22167.486443341164,22167.486443341164,-2.0832974884664327E7,-2.0832974884664327E7,-2.0832974884664327E7,-5198011.485572747,-5198011.485572747,0.0,0.0
524681.61999578;	0.0,4.0,21347.4261819268,21347.4261819268,-2.0811627458482407E7,-2.0811627458482407E7,-2.0811627458482407E7,-5192800.418234915,-5192800.418234915,0.0,0.0
524706.737691632;	0.0,5.0,20921.031604984055,20921.031604984055,-2.0790706426877413E7,-2.0790706426877413E7,-2.0790706426877413E7,-5187597.275679879,-5187597.275679879,0.0,0.0
524731.3372207381;	0.0,6.0,20726.041294488743,20726.041294488743,-2.0769980385582928E7,-2.0769980385582928E7,-2.0769980385582928E7,-5182274.14697327,-5182274.14697327,0.0,0.0
524757.0620910861;	0.0,7.0,20622.717912841334,20622.717912841334,-2.074935766767009E7,-2.074935766767009E7,-2.074935766767009E7,-5177170.79188865,-5177170.79188865,0.0,0.0
524781.544561242;	0.0,8.0,20491.376601141208,20491.376601141208,-2.0728866291068945E7,-2.0728866291068945E7,-2.0728866291068945E7,-5172065.938729834,-5172065.938729834,0.0,0.0
524806.801234371;	0.0,9.0,20486.758778493626,20486.758778493626,-2.0708379532290455E7,-2.0708379532290455E7,-2.0708379532290455E7,-5166919.022632077,-5166919.022632077,0.0,0.0
524831.793080091;	0.0,10.0,20430.276175725827,20430.276175725827,-2.0687949256114725E7,-2.0687949256114725E7,-2.0687949256114725E7,-5161692.775593024,-5161692.775593024,0.0,0.0
524857.1943829161;	0.0,11.0,20424.91718713261,20424.91718713261,-2.06675243389276E7,-2.06675243389276E7,-2.06675243389276E7,-5156714.171472367,-5156714.171472367,0.0,0.0
524883.128602596;	0.0,12.0,20417.644217917754,20417.644217917754,-2.0647106694709685E7,-2.0647106694709685E7,-2.0647106694709685E7,-5151578.165812881,-5151578.165812881,0.0,0.0
524908.1655746751;	0.0,13.0,20358.686125136497,20358.686125136497,-2.0626748008584548E7,-2.0626748008584548E7,-2.0626748008584548E7,-5146596.637836597,-5146596.637836597,0.0,0.0
