900110.620673532;	cycle,it,executionDll, simulationDll, executionTrainLl, simulationTrainLl,realTrainLl, executionValidLl, realValidLl, executionTestLl, realTestLl
900110.6209890521;	0.0,0.0,0.0,0.0,-12118.42347257748,-12118.42347257748,-12118.42347257748,-2418.6480510032998,-2418.6480510032998,0.0,0.0
900112.8507589;	0.0,1.0,54.627956042080314,54.627956042080314,-12063.795516535401,-12063.795516535401,-12063.795516535401,-2409.5487102626694,-2409.5487102626694,0.0,0.0
900113.304279273;	0.0,2.0,17.84118374981074,17.84118374981074,-12045.95433278559,-12045.95433278559,-12045.95433278559,-2406.6360054347347,-2406.6360054347347,0.0,0.0
900113.920655873;	0.0,3.0,89.26927467185203,89.26927467185192,-11956.685058113737,-11956.685058113737,-11956.685058113737,-2396.958463149139,-2396.958463149139,0.0,0.0
900115.8265503921;	0.0,4.0,73.50222797747062,73.50222797747051,-11883.182830136266,-11883.182830136266,-11883.182830136266,-2384.291578662452,-2384.291578662452,0.0,0.0
900117.4504018851;	0.0,5.0,7.401509364921068,7.401509364921068,-11875.781320771344,-11875.781320771344,-11875.781320771344,-2382.012024374114,-2382.012024374114,0.0,0.0
900117.768494872;	0.0,6.0,4.11447081479227,4.11447081479227,-11871.666849956553,-11871.666849956553,-11871.666849956553,-2381.131846213059,-2381.131846213059,0.0,0.0
900117.988971282;	0.0,7.0,31.188591285806638,31.18859128580658,-11840.478258670746,-11840.478258670746,-11840.478258670746,-2374.608308250045,-2374.608308250045,0.0,0.0
900119.300103403;	0.0,8.0,44.44295071044036,44.44295071044036,-11796.035307960305,-11796.035307960305,-11796.035307960305,-2363.9961861139864,-2363.9961861139864,0.0,0.0
900123.5379783631;	0.0,9.0,63.52493575751748,63.52493575751748,-11732.510372202785,-11732.510372202785,-11732.510372202785,-2353.92072586185,-2353.92072586185,0.0,0.0
900124.9089636491;	0.0,10.0,47.97042070801735,47.97042070801735,-11684.539951494764,-11684.539951494764,-11684.539951494764,-2347.6378525491796,-2347.6378525491796,0.0,0.0
900126.4375933411;	0.0,11.0,22.907824137205235,22.907824137205235,-11661.632127357561,-11661.632127357561,-11661.632127357561,-2343.668918768932,-2343.668918768932,0.0,0.0
900128.275699254;	0.0,12.0,43.32229347914131,43.32229347914125,-11618.309833878418,-11618.309833878418,-11618.309833878418,-2339.5560106138623,-2339.5560106138623,0.0,0.0
900129.7757818081;	0.0,13.0,63.56535480586797,63.56535480586797,-11554.744479072551,-11554.744479072551,-11554.744479072551,-2322.0407290449516,-2322.0407290449516,0.0,0.0
900132.6487803451;	0.0,14.0,23.140491570907727,23.140491570907727,-11531.603987501643,-11531.603987501643,-11531.603987501643,-2315.4910433473915,-2315.4910433473915,0.0,0.0
900133.360702403;	0.0,15.0,5.759243546472587,5.759243546472587,-11525.844743955171,-11525.844743955171,-11525.844743955171,-2313.841747247543,-2313.841747247543,0.0,0.0
900135.122099275;	0.0,16.0,23.942332040217394,23.942332040217394,-11501.902411914954,-11501.902411914954,-11501.902411914954,-2307.3855777465296,-2307.3855777465296,0.0,0.0
900135.785960435;	0.0,17.0,79.16427549498258,79.16427549498246,-11422.738136419972,-11422.738136419972,-11422.738136419972,-2293.5474930056066,-2293.5474930056066,0.0,0.0
900138.099674882;	0.0,18.0,27.319425926388192,27.319425926388192,-11395.418710493583,-11395.418710493583,-11395.418710493583,-2288.815411049712,-2288.815411049712,0.0,0.0
900138.9692537991;	0.0,19.0,14.91416577280414,14.91416577280414,-11380.504544720778,-11380.504544720778,-11380.504544720778,-2285.048564469845,-2285.048564469845,0.0,0.0
900140.0857981021;	0.0,20.0,34.099647098754915,34.099647098754915,-11346.404897622022,-11346.404897622022,-11346.404897622022,-2280.7564600675055,-2280.7564600675055,0.0,0.0
900140.8528950991;	0.0,21.0,5.041634927745548,5.041634927745548,-11341.36326269428,-11341.36326269428,-11341.36326269428,-2279.462580279313,-2279.462580279313,0.0,0.0
900143.2559710421;	0.0,22.0,78.80756062441617,78.80756062441617,-11262.555702069865,-11262.555702069865,-11262.555702069865,-2261.7995182154195,-2261.7995182154195,0.0,0.0
900143.9898552521;	0.0,23.0,46.37343363879013,46.37343363879013,-11216.182268431075,-11216.182268431075,-11216.182268431075,-2252.6513047226326,-2252.6513047226326,0.0,0.0
900144.053665549;	0.0,24.0,10.875478492722127,10.875478492722127,-11205.306789938355,-11205.306789938355,-11205.306789938355,-2251.147125245358,-2251.147125245358,0.0,0.0
900144.133452806;	0.0,25.0,6.2057312817249795,6.2057312817249795,-11199.10105865663,-11199.10105865663,-11199.10105865663,-2251.2967347998865,-2251.2967347998865,0.0,0.0
900144.448272943;	0.0,26.0,3.0283467092581873,3.0283467092581873,-11196.07271194737,-11196.07271194737,-11196.07271194737,-2251.008791812832,-2251.008791812832,0.0,0.0
900144.713103782;	0.0,27.0,24.84376449144561,24.84376449144561,-11171.228947455922,-11171.228947455922,-11171.228947455922,-2246.521667153166,-2246.521667153166,0.0,0.0
900146.208664495;	0.0,28.0,14.58045323128561,14.58045323128561,-11156.648494224637,-11156.648494224637,-11156.648494224637,-2242.498379872053,-2242.498379872053,0.0,0.0
900146.436451721;	0.0,29.0,29.879685617221682,29.879685617221682,-11126.768808607414,-11126.768808607414,-11126.768808607414,-2232.090274599654,-2232.090274599654,0.0,0.0
900149.187435743;	0.0,30.0,25.320682060598692,25.320682060598692,-11101.448126546817,-11101.448126546817,-11101.448126546817,-2225.0930555810123,-2225.0930555810123,0.0,0.0
900149.6151398381;	0.0,31.0,3.255760081386711,3.255760081386711,-11098.192366465431,-11098.192366465431,-11098.192366465431,-2226.6777207841264,-2226.6777207841264,0.0,0.0
900150.934031373;	0.0,32.0,2.6963172391655235,2.6963172391655235,-11095.496049226265,-11095.496049226265,-11095.496049226265,-2227.2370178240863,-2227.2370178240863,0.0,0.0
900152.208659027;	0.0,33.0,2.004482788918729,2.004482788918729,-11093.491566437346,-11093.491566437346,-11093.491566437346,-2227.0420451497394,-2227.0420451497394,0.0,0.0
900152.322273319;	0.0,34.0,1.5058863539459821,1.5058863539459821,-11091.9856800834,-11091.9856800834,-11091.9856800834,-2227.0483574538925,-2227.0483574538925,0.0,0.0
900152.8773682701;	0.0,35.0,1.4297622490831827,1.4297622490831827,-11090.555917834317,-11090.555917834317,-11090.555917834317,-2226.514899000424,-2226.514899000424,0.0,0.0
900153.193885353;	0.0,36.0,0.6921644290071072,0.6921644290071072,-11089.86375340531,-11089.86375340531,-11089.86375340531,-2226.9326181665638,-2226.9326181665638,0.0,0.0
900153.825324698;	0.0,37.0,31.364562041572867,31.36456204157281,-11058.499191363737,-11058.499191363737,-11058.499191363737,-2227.9105471381417,-2227.9105471381417,0.0,0.0
900160.273871595;	0.0,38.0,33.71954889553069,33.71954889553069,-11024.779642468206,-11024.779642468206,-11024.779642468206,-2219.8779684358315,-2219.8779684358315,0.0,0.0
900163.2282089511;	0.0,39.0,28.492633775589923,28.492633775589923,-10996.287008692616,-10996.287008692616,-10996.287008692616,-2214.218746907218,-2214.218746907218,0.0,0.0
900165.379179553;	0.0,40.0,10.241163900898393,10.241163900898393,-10986.045844791717,-10986.045844791717,-10986.045844791717,-2210.965733486733,-2210.965733486733,0.0,0.0
900168.1047201791;	0.0,41.0,4.1349535670671,4.1349535670671,-10981.910891224652,-10981.910891224652,-10981.910891224652,-2211.131462952821,-2211.131462952821,0.0,0.0
900168.996027934;	0.0,42.0,7.652382549521812,7.652382549521812,-10974.258508675131,-10974.258508675131,-10974.258508675131,-2208.161102199984,-2208.161102199984,0.0,0.0
900171.839389511;	0.0,43.0,7.409740307593462,7.409740307593462,-10966.848768367538,-10966.848768367538,-10966.848768367538,-2203.9844229253563,-2203.9844229253563,0.0,0.0
