Cycle;It;Time;TotalTime;Size;Operation;TrainLL;ValidLL;TestLL
0;0;0.014585128000000001;0.014585128000000001;1568.0;null;-37.58366108901781;-37.475294571025586;NaN
0;1;2128.627752803;2128.642337931;1571.0;Split(1686,611,690,[C(474),C(-474)],MaxDepth(3));-37.54446828445858;-37.4457219411959;NaN
0;2;15.767750476000002;2144.410088407;1595.0;Split(1991,609,1890,[C(433),C(-433)],MaxDepth(3));-37.41104608683409;-37.29951948911781;NaN
0;3;81.594794264;2226.004882671;1613.0;Split(2080,585,2068,[C(439),C(-439)],MaxDepth(3));-37.32950387218402;-37.20729621092227;NaN
0;4;740.856603404;2966.861486075;1635.0;Split(2080,585,2160,[C(404),C(-404)],MaxDepth(3));-37.238549033076424;-37.10682479555278;NaN
0;5;701.7143713190001;3668.575857394;1657.0;Split(2091,521,2090,[C(438),C(-438)],MaxDepth(3));-37.10366733310115;-36.96652576372542;NaN
0;6;1677.7883633610002;5346.364220755;1686.0;Split(2091,521,2234,[C(437),C(-437)],MaxDepth(3));-36.903057350510664;-36.775134817912864;NaN
0;7;1291.8088812550002;6638.173102010001;1708.0;Split(2091,521,2235,[C(437),C(-437)],MaxDepth(3));-36.731489286984406;-36.59697505449622;NaN
0;8;1769.602764961;8407.775866971;1737.0;Split(2091,521,2275,[C(440),C(-440)],MaxDepth(3));-36.6867856356923;-36.55216353216689;NaN
0;9;1541.093694766;9948.869561737;1766.0;Split(2091,521,2314,[C(440),C(-440)],MaxDepth(3));-36.63709092765261;-36.50270152882939;NaN
0;10;1461.12705222;11409.996613956999;1803.0;Split(2295,585,2161,[C(404),C(-404)],MaxDepth(3));-36.503727403127876;-36.357816919386664;NaN
0;11;1088.4987610580001;12498.495375014998;1814.0;Clone(1898,541,[{2181:1898,2415:1898}],MaxDepth(3));-36.445227733217976;-36.303276790769665;NaN
0;12;142.40785357000001;12640.903228584997;1825.0;Clone(1891,597,[{2175:1892,2409:1892}],MaxDepth(3));-36.39401287812872;-36.25176359143663;NaN
0;13;133.145166463;12774.048395047997;1855.0;Split(2091,521,2315,[C(440),C(-440)],MaxDepth(3));-36.28947473343364;-36.13946663532566;NaN
0;14;4428.973902806;17203.022297853997;1890.0;Split(2472,913,2458,[C(406),C(-406)],MaxDepth(3));-36.18005772039425;-36.01924358758952;NaN
0;15;4245.066457619;21448.088755472996;1925.0;Split(2373,717,2066,[C(414),C(-414)],MaxDepth(3));-36.078071447282966;-35.91642868208987;NaN
0;16;3269.927776969;24718.016532441998;1952.0;Split(2550,749,2544,[C(415),C(-415)],MaxDepth(3));-36.01227159226514;-35.8503494592145;NaN
0;17;289.014705713;25007.031238155;1957.0;Clone(1649,763,[{2563:1650}],MaxDepth(3));-35.98904152188572;-35.825739930729696;NaN
0;18;16.738063961;25023.769302115998;1968.0;Clone(1873,745,[{1983:1874}],MaxDepth(3));-35.949804976635;-35.78564242160975;NaN
0;19;63.569733503;25087.339035619;2007.0;Split(2393,783,2387,[C(404),C(-404)],MaxDepth(3));-35.853062916314656;-35.69413283629075;NaN
0;20;3891.45187269;28978.790908308998;2038.0;Split(2492,1027,1966,[C(405),C(-405)],MaxDepth(3));-35.810674010214335;-35.65003998785639;NaN
0;21;181.811655266;29160.602563574997;2040.0;Clone(85,1030,[{2651:88}],MaxDepth(3));-35.776259283120666;-35.614797448259786;NaN
0;22;12.017904541;29172.620468115998;2050.0;Clone(2126,605,[{2407:2126}],MaxDepth(3));-35.7509564525686;-35.5940108787503;NaN
0;23;298.338088153;29470.958556268997;2081.0;Split(2638,913,2632,[C(371),C(-371)],MaxDepth(3));-35.669956814060136;-35.517016283239656;NaN
0;24;3866.988221004;33337.946777273;2104.0;Clone(1966,1019,[{2493:1966,2688:1966,2689:1966}],MaxDepth(3));-35.46890118555539;-35.318070738675694;NaN
0;25;215.189012238;33553.135789511;2127.0;Clone(1970,953,[{2692:1970,2693:1970}],MaxDepth(3));-35.40867889798537;-35.26240880632025;NaN
0;26;190.650233181;33743.786022691995;2167.0;Split(2091,521,2395,[C(457),C(-457)],MaxDepth(3));-35.31068108620269;-35.16552094621481;NaN
0;27;4769.468371055001;38513.254393746996;2208.0;Split(2091,521,2800,[C(459),C(-459)],MaxDepth(3));-35.29405145257407;-35.14950664514237;NaN
0;28;4402.642227472;42915.896621219;2247.0;Split(2091,521,2857,[C(372),C(-372)],MaxDepth(3));-35.209505594366945;-35.065675180974715;NaN
