517776.142281352;	cycle,it,executionDll, simulationDll, executionTrainLl, simulationTrainLl,realTrainLl, executionValidLl, realValidLl, executionTestLl, realTestLl
517776.14244430204;	0.0,0.0,0.0,0.0,-1.1009782743277542E7,-1.1009782743277542E7,-1.1009782743277542E7,-2754222.843094228,-2754222.843094228,0.0,0.0
524659.640504926;	0.0,1.0,15239.043945655409,15239.043945655409,-1.0994543699331887E7,-1.0994543699331887E7,-1.0994543699331887E7,-2750453.0601408137,-2750453.0601408137,0.0,0.0
524684.476632435;	0.0,2.0,15235.709958278632,15235.709958278632,-1.097930798937361E7,-1.097930798937361E7,-1.097930798937361E7,-2746691.4824887025,-2746691.4824887025,0.0,0.0
524710.317236939;	0.0,3.0,14676.88230903001,14676.88230903001,-1.096463110706458E7,-1.096463110706458E7,-1.096463110706458E7,-2743046.1000481187,-2743046.1000481187,0.0,0.0
524763.398000399;	0.0,4.0,14438.434532776511,14438.434532776511,-1.0950192672531804E7,-1.0950192672531804E7,-1.0950192672531804E7,-2739314.0317792874,-2739314.0317792874,0.0,0.0
524789.235150116;	0.0,5.0,14159.617178142678,14159.617178142678,-1.093603305535366E7,-1.093603305535366E7,-1.093603305535366E7,-2735723.323467544,-2735723.323467544,0.0,0.0
524816.0119069561;	0.0,6.0,14147.23461934203,14147.23461934203,-1.0921885820734316E7,-1.0921885820734316E7,-1.0921885820734316E7,-2732194.9389580484,-2732194.9389580484,0.0,0.0
524843.9909129441;	0.0,7.0,14142.265663886305,14142.265663886305,-1.090774355507043E7,-1.090774355507043E7,-1.090774355507043E7,-2728578.662546964,-2728578.662546964,0.0,0.0
524872.533433704;	0.0,8.0,13958.351171872593,13958.351171872593,-1.0893785203898558E7,-1.0893785203898558E7,-1.0893785203898558E7,-2725132.9986242456,-2725132.9986242456,0.0,0.0
524898.143011708;	0.0,9.0,13719.16351628278,13719.16351628278,-1.0880066040382275E7,-1.0880066040382275E7,-1.0880066040382275E7,-2721875.4806372398,-2721875.4806372398,0.0,0.0
524923.5732642061;	0.0,10.0,13405.90009024295,13405.90009024295,-1.0866660140292032E7,-1.0866660140292032E7,-1.0866660140292032E7,-2718335.8737617927,-2718335.8737617927,0.0,0.0
524948.991141209;	0.0,11.0,13299.926661752732,13299.926661752732,-1.0853360213630281E7,-1.0853360213630281E7,-1.0853360213630281E7,-2714945.002032051,-2714945.002032051,0.0,0.0
524973.195389422;	0.0,12.0,13282.344508568836,13282.344508568836,-1.0840077869121712E7,-1.0840077869121712E7,-1.0840077869121712E7,-2711651.8627541135,-2711651.8627541135,0.0,0.0
524997.5797558681;	0.0,13.0,13131.464024308785,13131.464024308785,-1.0826946405097404E7,-1.0826946405097404E7,-1.0826946405097404E7,-2708508.099901647,-2708508.099901647,0.0,0.0
525021.647597239;	0.0,14.0,13050.96597785219,13050.96597785219,-1.0813895439119551E7,-1.0813895439119551E7,-1.0813895439119551E7,-2705183.4759315993,-2705183.4759315993,0.0,0.0
525046.2551258251;	0.0,15.0,13002.490507463437,13002.490507463437,-1.0800892948612088E7,-1.0800892948612088E7,-1.0800892948612088E7,-2702093.99179917,-2702093.99179917,0.0,0.0
525072.2279884111;	0.0,16.0,12995.800605935525,12995.800605935525,-1.0787897148006154E7,-1.0787897148006154E7,-1.0787897148006154E7,-2698780.499446635,-2698780.499446635,0.0,0.0
525100.7473232991;	0.0,17.0,12938.034385248175,12938.034385248175,-1.0774959113620907E7,-1.0774959113620907E7,-1.0774959113620907E7,-2695466.428592997,-2695466.428592997,0.0,0.0
525128.363385807;	0.0,18.0,12915.572719331438,12915.572719331438,-1.0762043540901573E7,-1.0762043540901573E7,-1.0762043540901573E7,-2692364.1428568363,-2692364.1428568363,0.0,0.0
525156.5575763021;	0.0,19.0,12868.02353204264,12868.02353204264,-1.0749175517369531E7,-1.0749175517369531E7,-1.0749175517369531E7,-2689167.2943799444,-2689167.2943799444,0.0,0.0
525183.754557888;	0.0,20.0,12726.087467751135,12726.087467751135,-1.0736449429901782E7,-1.0736449429901782E7,-1.0736449429901782E7,-2685986.192171832,-2685986.192171832,0.0,0.0
525213.080784198;	0.0,21.0,12706.99151802047,12706.99151802047,-1.072374243838376E7,-1.072374243838376E7,-1.072374243838376E7,-2682940.148212918,-2682940.148212918,0.0,0.0
525486.2741515511;	0.0,22.0,12699.113407680885,12699.113407680885,-1.071104332497608E7,-1.071104332497608E7,-1.071104332497608E7,-2679707.4684354463,-2679707.4684354463,0.0,0.0
525512.484241049;	0.0,23.0,12681.199726315288,12681.199726315288,-1.0698362125249764E7,-1.0698362125249764E7,-1.0698362125249764E7,-2676451.1217697365,-2676451.1217697365,0.0,0.0
525541.96635253;	0.0,24.0,12658.00390134751,12658.00390134751,-1.0685704121348415E7,-1.0685704121348415E7,-1.0685704121348415E7,-2673192.0519776167,-2673192.0519776167,0.0,0.0
525568.93047897;	0.0,25.0,12584.295917231328,12584.295917231328,-1.0673119825431185E7,-1.0673119825431185E7,-1.0673119825431185E7,-2670033.0551559385,-2670033.0551559385,0.0,0.0
525595.9872174801;	0.0,26.0,12559.810155824842,12559.810155824842,-1.0660560015275361E7,-1.0660560015275361E7,-1.0660560015275361E7,-2666835.398385186,-2666835.398385186,0.0,0.0
525626.5659767081;	0.0,27.0,12514.027662566572,12514.027662566572,-1.0648045987612793E7,-1.0648045987612793E7,-1.0648045987612793E7,-2663650.3989406815,-2663650.3989406815,0.0,0.0
525651.94703864;	0.0,28.0,12462.295163661787,12462.295163661787,-1.063558369244913E7,-1.063558369244913E7,-1.063558369244913E7,-2660553.849302255,-2660553.849302255,0.0,0.0
525678.834868301;	0.0,29.0,12449.766468337879,12449.766468337879,-1.0623133925980793E7,-1.0623133925980793E7,-1.0623133925980793E7,-2657435.7122011078,-2657435.7122011078,0.0,0.0
525732.4249821501;	0.0,30.0,12343.011111684747,12343.011111684747,-1.0610790914869111E7,-1.0610790914869111E7,-1.0610790914869111E7,-2654370.1727538384,-2654370.1727538384,0.0,0.0
525760.6650613591;	0.0,31.0,36928.42585087993,36928.42585087992,-1.0573862489018232E7,-1.0573862489018232E7,-1.0573862489018232E7,-2645173.1480331435,-2645173.1480331435,0.0,0.0
525815.455853816;	0.0,32.0,12303.12061079537,12303.12061079537,-1.0561559368407438E7,-1.0561559368407438E7,-1.0561559368407438E7,-2641961.1296488275,-2641961.1296488275,0.0,0.0
525841.284640761;	0.0,33.0,12300.806488815499,12300.806488815499,-1.0549258561918624E7,-1.0549258561918624E7,-1.0549258561918624E7,-2638944.6363936253,-2638944.6363936253,0.0,0.0
525868.186952559;	0.0,34.0,36866.768849635584,36866.7688496356,-1.0512391793068992E7,-1.0512391793068992E7,-1.0512391793068992E7,-2629848.9843765902,-2629848.9843765902,0.0,0.0
525923.392590208;	0.0,35.0,12248.739196879698,12248.739196879698,-1.050014305387211E7,-1.050014305387211E7,-1.050014305387211E7,-2626686.689576649,-2626686.689576649,0.0,0.0
525951.569617314;	0.0,36.0,12243.90725277366,12243.90725277366,-1.0487899146619337E7,-1.0487899146619337E7,-1.0487899146619337E7,-2623579.9194060345,-2623579.9194060345,0.0,0.0
525979.023523316;	0.0,37.0,12178.924297397662,12178.924297397662,-1.0475720222321939E7,-1.0475720222321939E7,-1.0475720222321939E7,-2620565.9110837663,-2620565.9110837663,0.0,0.0
526004.2522344671;	0.0,38.0,12124.139767045319,12124.139767045319,-1.0463596082554895E7,-1.0463596082554895E7,-1.0463596082554895E7,-2617464.570676658,-2617464.570676658,0.0,0.0
526033.985361989;	0.0,39.0,12115.110858693912,12115.110858693912,-1.0451480971696202E7,-1.0451480971696202E7,-1.0451480971696202E7,-2614518.6181844654,-2614518.6181844654,0.0,0.0
526062.1341284451;	0.0,40.0,12098.66926318004,12098.66926318004,-1.0439382302433021E7,-1.0439382302433021E7,-1.0439382302433021E7,-2611364.3505382226,-2611364.3505382226,0.0,0.0
526118.610680519;	0.0,41.0,12070.657416366907,12070.657416366907,-1.042731164501665E7,-1.042731164501665E7,-1.042731164501665E7,-2608241.289044797,-2608241.289044797,0.0,0.0
526147.636466208;	0.0,42.0,12059.08889859173,12059.08889859173,-1.0415252556118058E7,-1.0415252556118058E7,-1.0415252556118058E7,-2605233.354505642,-2605233.354505642,0.0,0.0
526176.7268890691;	0.0,43.0,12047.340981441474,12047.340981441474,-1.0403205215136617E7,-1.0403205215136617E7,-1.0403205215136617E7,-2602016.621968111,-2602016.621968111,0.0,0.0
526229.579989969;	0.0,44.0,11979.670824635348,11979.670824635348,-1.0391225544311982E7,-1.0391225544311982E7,-1.0391225544311982E7,-2598991.4035346475,-2598991.4035346475,0.0,0.0
