Cycle;It;Time;TotalTime;Size;Operation;TrainLL;ValidLL;TestLL
0;0;0.01597125;0.01597125;2351.0;null;-229.37047381828214;-229.51857025785233;NaN
0;1;6883.578850744;6883.594821994;2354.0;Split(2156,1105,264,[C(625),C(-625)],MaxDepth(3));-229.052993736081;-229.20442167840113;NaN
0;2;24.836321338;6908.431143332;2357.0;Split(2535,229,1386,[C(153),C(-153)],MaxDepth(3));-228.7355831119502;-228.89095687405853;NaN
0;3;25.840394183;6934.271537515;2360.0;Split(2153,1117,246,[C(655),C(-655)],MaxDepth(3));-228.4298147305121;-228.5871750040099;NaN
0;4;53.080635006;6987.352172521;2363.0;Split(2533,237,1374,[C(155),C(-155)],MaxDepth(3));-228.12901401107925;-228.2761693149406;NaN
0;5;25.837052963;7013.189225484;2366.0;Split(2159,1093,282,[C(597),C(-597)],MaxDepth(3));-227.8340219865346;-227.97694362229532;NaN
0;6;26.7766626;7039.965888084001;2369.0;Split(2155,1109,258,[C(653),C(-653)],MaxDepth(3));-227.53928793196494;-227.68291157983737;NaN
0;7;27.978907391000003;7067.944795475;2372.0;Split(2154,1113,252,[C(627),C(-627)],MaxDepth(3));-227.2446573973006;-227.38155521224698;NaN
0;8;28.542420769000003;7096.487216244001;2375.0;Split(2532,241,1368,[C(181),C(-181)],MaxDepth(3));-226.9538584145533;-227.09441655202048;NaN
0;9;25.609495218000003;7122.096711462001;2378.0;Split(2538,217,1404,[C(179),C(-179)],MaxDepth(3));-226.66804250796406;-226.82295671977;NaN
0;10;25.430163759000003;7147.526875221;2381.0;Split(2447,581,858,[C(157),C(-157)],MaxDepth(3));-226.38875292275065;-226.5279894801494;NaN
0;11;25.417785559000002;7172.94466078;2384.0;Split(2469,493,990,[C(379),C(-379)],MaxDepth(3));-226.11167111729753;-226.24541683600424;NaN
0;12;24.204164765;7197.148825545;2387.0;Split(2470,489,996,[C(351),C(-351)],MaxDepth(3));-225.83495560670232;-225.9709885628428;NaN
0;13;24.384282046000003;7221.533107591001;2390.0;Split(2147,1141,210,[C(657),C(-657)],MaxDepth(3));-225.56138343952927;-225.70900832513723;NaN
0;14;24.067745418;7245.600853009001;2393.0;Split(2168,1057,336,[C(461),C(-461)],MaxDepth(3));-225.28948831499065;-225.43195632763326;NaN
0;15;24.607437804;7270.208290813001;2396.0;Split(2442,601,828,[C(187),C(-187)],MaxDepth(3));-225.01860309608517;-225.17449931659752;NaN
0;16;25.972683265;7296.180974078002;2399.0;Split(2534,233,1380,[C(127),C(-127)],MaxDepth(3));-224.74785725012822;-224.89837495388628;NaN
0;17;28.519186686;7324.700160764001;2402.0;Split(2530,249,1356,[C(183),C(-183)],MaxDepth(3));-224.47831486710223;-224.62220238274975;NaN
0;18;27.615974761;7352.316135525001;2405.0;Split(2541,205,1422,[C(151),C(-151)],MaxDepth(3));-224.20924043544946;-224.36367857140303;NaN
0;19;28.194046832;7380.510182357001;2408.0;Split(2702,1225,2036,[C(683),C(-683)],MaxDepth(3));-223.94115661186524;-224.09727453166204;NaN
